epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.673,1.26452,1.47766,1.21115,0.89489,0.84287,0.90072,0.52726,1.38186,1.0697,1.29193,0.00066566,0.00066566,0.00066566
2,740.608,1.27588,0.83193,1.2476,0.94291,0.89869,0.94665,0.58619,1.36773,0.73155,1.29431,0.00126638,0.00126638,0.00126638
3,1094.57,1.24573,0.76588,1.23118,0.94329,0.88161,0.94369,0.54691,1.39642,0.72022,1.29332,0.00180109,0.00180109,0.00180109
4,1446.65,1.23326,0.72939,1.2261,0.95468,0.90909,0.94908,0.6203,1.26113,0.61617,1.2465,0.001703,0.001703,0.001703
5,1796.79,1.19727,0.68662,1.20966,0.96251,0.91886,0.95415,0.6283,1.22433,0.6037,1.22849,0.001604,0.001604,0.001604
6,2147.76,1.17335,0.65077,1.19618,0.96689,0.91784,0.96465,0.6312,1.25279,0.54707,1.22994,0.001505,0.001505,0.001505
7,2499.65,1.15342,0.62388,1.18646,0.96425,0.92354,0.96648,0.6565,1.1936,0.54238,1.1987,0.001406,0.001406,0.001406
8,2851.18,1.13981,0.60227,1.17668,0.96454,0.94559,0.9724,0.62762,1.24738,0.52866,1.22121,0.001307,0.001307,0.001307
9,3200.9,1.12411,0.5857,1.16529,0.96683,0.9348,0.96902,0.66056,1.17159,0.50871,1.17949,0.001208,0.001208,0.001208
10,3553.9,1.11365,0.56888,1.15847,0.97639,0.93949,0.97447,0.66297,1.19777,0.48476,1.19818,0.001109,0.001109,0.001109
11,3891.61,1.09029,0.48973,1.16832,0.97599,0.93434,0.97145,0.66117,1.2037,0.49328,1.20232,0.00101,0.00101,0.00101
12,4224.83,1.07173,0.47196,1.15375,0.97531,0.94489,0.97532,0.68354,1.13408,0.46519,1.16413,0.000911,0.000911,0.000911
13,4559.39,1.05364,0.45702,1.14491,0.97393,0.9462,0.97532,0.68071,1.1503,0.45596,1.16066,0.000812,0.000812,0.000812
14,4893.92,1.04263,0.44028,1.14037,0.9797,0.95081,0.97947,0.6896,1.1344,0.44034,1.15346,0.000713,0.000713,0.000713
15,5228.5,1.02489,0.42834,1.12708,0.97089,0.95826,0.9795,0.69487,1.11393,0.43755,1.14601,0.000614,0.000614,0.000614
16,5562.8,1.01667,0.41558,1.12436,0.98308,0.95378,0.98177,0.69645,1.10977,0.42215,1.14064,0.000515,0.000515,0.000515
17,5895.25,1.00148,0.40446,1.11204,0.98162,0.94981,0.98127,0.69928,1.11055,0.4164,1.13846,0.000416,0.000416,0.000416
18,6228.27,0.98578,0.39171,1.10486,0.98091,0.9606,0.97944,0.70241,1.0998,0.40753,1.13064,0.000317,0.000317,0.000317
19,6576.43,0.97295,0.38086,1.09569,0.98378,0.95826,0.98182,0.70578,1.10482,0.40223,1.13057,0.000218,0.000218,0.000218
20,6910.29,0.95752,0.36937,1.08519,0.98086,0.96156,0.98305,0.70773,1.09507,0.3953,1.12619,0.000119,0.000119,0.000119
